date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range
2020-03-10,HOU,Houston (Hobby),77.1,65.2,69.6,1023.9,11.7,180,22.4,0.472,0.472,88,65.8,76,9.91096111111111,0,1,0,0,0.6000000000000227,11.899999999999991
2020-03-11,HOU,Houston (Hobby),77.3,62.7,69.3,1019.3,11.7,195,20.6,0.02,0.02,85,64.1,61,6.380952777777778,0,1,0,0,-4.600000000000023,14.599999999999994
2020-03-12,HOU,Houston (Hobby),79.9,66.7,71.6,1013.9,14.6,187,26.6,0.031,0.031,82,65.1,90,9.883544444444444,0,1,0,0,-5.399999999999977,13.200000000000003
2020-03-13,HOU,Houston (Hobby),77.7,68.3,71.9,1016.0,14.8,152,27.1,0.075,0.075,86,67.4,99,6.739502777777777,0,1,0,0,2.1000000000000227,9.400000000000006
2020-03-14,HOU,Houston (Hobby),78.9,68.7,72.8,1019.7,14.9,149,27.7,0.012,0.012,85,67.5,98,8.42666388888889,0,1,0,0,3.7000000000000455,10.200000000000003
2020-03-15,HOU,Houston (Hobby),78.5,67.2,71.8,1022.5,11.8,127,22.6,0.059,0.059,90,68.4,84,8.002447222222223,0,0,1,0,2.7999999999999545,11.299999999999997
2020-03-16,HOU,Houston (Hobby),72.1,63.6,67.7,1021.1,15.7,117,29.1,0.083,0.083,91,64.9,100,1.8040888888888889,0,0,1,0,-1.3999999999999773,8.499999999999993
2020-03-17,HOU,Houston (Hobby),78.4,65.8,70.8,1018.8,15.0,127,27.5,0.051,0.051,88,67.0,88,6.048891666666666,0,0,1,0,-2.300000000000068,12.600000000000009
2020-03-18,HOU,Houston (Hobby),80.2,68.7,73.5,1017.1,15.4,159,28.9,0.004,0.004,84,68.0,81,8.932816666666666,0,1,0,0,-1.6999999999999318,11.5
2020-03-19,HOU,Houston (Hobby),82.1,71.7,75.3,1015.8,19.2,164,34.7,0.028,0.028,84,69.6,87,9.944083333333333,0,1,0,0,-1.3000000000000682,10.399999999999991
2020-03-20,HOU,Houston (Hobby),73.6,63.4,69.7,1021.0,14.0,50,25.9,1.594,1.594,91,67.0,91,3.633063888888889,0,0,1,0,5.2000000000000455,10.199999999999996
2020-03-21,HOU,Houston (Hobby),66.0,54.6,60.0,1024.5,13.6,39,24.8,0.193,0.193,90,57.0,95,0.4551694444444444,1,0,0,0,3.5,11.399999999999999
